DMKT,Ampcap Dynamic MKTHF Trading Managed Fund Units FP
GLIN,Ampcap Global Infra Trading Managed Fund Units FP
AGX1,ANTPDS Globl SHRS Trading Managed Units FP
HBRD,Beta Active Hybrids Trading Managed Units FP
ASIA,Beta Asiatech Tigers ETF Units FP
BBOZ,Beta Aust STR Bear Trading Managed Fund Units FP
HVST,Beta Divharvester ETF Units FP
GGUS,Beta Geared US EQ Trading Managed Fund Units FP
FOOD,Beta Global Agri ETF Units FP
BNKS,Beta Global Banks ETF Units FP
HACK,Beta Global Cyber ETF Units FP
FUEL,Beta Global Energy ETF Units FP
MNRS,Beta Global Gold ETF Units FP
DRUG,Beta Global Health ETF Units FP
INCM,Beta Income Leaders ETF Units FP
BNDS,Beta LM Aus Bond ETF Units FP
AUST,Beta Managed Risk Au Trading Managed Fund Units FP
AUDS,Beta Strong AUD Trading Managed Units FP
BBUS,Beta US Strong Bear Trading Managed Fund Units FP
CRED,Betaauscorpbondetf ETF Units FP
EX20,BETAAUSEX20 ETF Units FP
A200,BETAAUSTRALIA200ETF ETF Units FP
FAIR,Betaausustainability ETF Units FP
EINC,Betalm Equity Income Trading Managed Units FP
BEAR,Betashares Aust BEAR ETF Units FP
EEU,Betashares Euro ETF ETF Units FP
HEUR,Betashares WT Europe ETF Units FP
HJPN,Betashares WT Japan ETF Units FP
AAA,Betasharescashetf ETF Units FP
ETHI,Betasustainability ETF Units FP
GEAR,Betshares GEAR Fund ETF Units FP
EIGA,Einvest Income Trading Managed Units FP
ILC,ETF Units FP
ISO,ETF Units FP
ACDC,ETFs Batt Tech Lith ETF Units FP
CORE,ETFs GLB CORE Infra ETF Units FP
GOLD,ETFs Physical GOLD
ETPMPD,ETFs Physical Palladium
ETPMPT,ETFs Physical Platinum
ETPMPM,ETFs Physical PM Basket
ETPMAG,ETFs Physical Silver
CURE,ETFs S&P Biotech ETF Units FP
ESTX,ETFSEUROSTOXX50 ETF Units FP
FEMX,Fidelity Gem Trading Managed Units FP
INIF,Investsmartauincfund Trading Managed Units FP
IAF,Ishares Comp BND ETF Units FP
BILL,Ishares Core Cash ETF Units FP
IHWL,Ishares Core WLD Aud ETF Units FP
IWLD,Ishares Core WLD ETF Units FP
AUMF,Ishares Edge Au MF ETF Units FP
MVOL,Ishares Edge Au MVOL ETF Units FP
ISEC,Ishares Enhancd Cash ETF Units FP
IHCB,Ishares GBL BND Aud ETF Units FP
IHHY,Ishares GBLHGHYD Aud ETF Units FP
IHOO,Ishares Global 100 ETF Units FP
ILB,Ishares GOV Infl ETF Units FP
IJH,Ishares Mid-Cap ETF ETF Units FP
IKO,Ishares MSCI SK ETF ETF Units FP
ITW,Ishares MSCI TW ETF ETF Units FP
IHVV,Ishares S&P 500 Aud ETF Units FP
IVV,Ishares S&P 500 ETF ETF Units FP
IHD,Ishares S&P DIV Opp ETF Units FP
IOZ,Ishares S&P/ASX 200 ETF Units FP
IJR,Ishares Small-Cap ETF Units FP
IGB,Ishares Treasury ETF Units FP
IHEB,Ishares Usdembond Au ETF Units FP
IAA,Ishs Asia 50 ETF ETF Units FP
IZZ,Ishs China ETF ETF Units FP
IEU,Ishs Europe ETF ETF Units FP
IXJ,Ishs Glob Health ETF ETF Units FP
IOO,Ishs Global 100 ETF ETF Units FP
IXI,Ishs Global Cons ETF ETF Units FP
IVE,Ishs MSCI Eafe ETF ETF Units FP
IEM,Ishs MSCI Emg Mktetf ETF Units FP
IJP,Ishs MSCI Japan ETF ETF Units FP
KSM,K2 Au Small Cap Fund Trading Managed Fund Units FP
KII,K2GLOBALEQUITIESFUND Trading Managed Fund Units FP
MGE,Mag Global Equities Trading Managed Fund Units FP
MICH,Mag. Infra. Fund CH Trading Managed Fund Units FP
MHG,Magellan GBL EQ Fund Trading Managed Fund Units FP
MOGL,MOGL (Managed Fund) Trading Managed Units FP
GROW,SCH Real Return Fund Trading Managed Fund Units FP
BOND,SPDR Aust BOND ETF Units FP
DJRE,SPDR DJ Global REIT ETF Units FP
GOVT,SPDR GOVT Bond ETF Units FP
MONY,Ubs IQ Cash ETF Units FP
DIV,Ubs IQ Mstar Aus DIV ETF Units FP
ETF,Ubs IQ Mstar Aus ETF Units FP
FLOT,Vaneck Au Float Rate ETF Units FP
MVB,Vaneck Banks ETF Units FP
CETF,Vaneck China Ashare ETF Cdis 1:1
CNEW,Vaneck China New ETF Units FP
EMKT,Vaneck Emerging MKT ETF Units FP
ESGI,Vaneck ESG Internatl ETF Units FP
FDIV,Vaneck Franked DIV ETF Units FP
GDX,Vaneck Gold Miners ETF Cdis 1:1
IFRA,Vaneck Infrastruct ETF Units FP
MVE,Vaneck Midcap ETF Units FP
MVA,Vaneck Property ETF Units FP
MVR,Vaneck Resources ETF Units FP
MOAT,Vaneck US Wide MOAT ETF Cdis 1:1
MVS,Vaneck Small Masters ETF Units FP
MVW,Vaneck EQUAL Weight ETF Units FP
NDQ,BETASHARESNASDAQ100 ETF Units FP
OOO,Betasharescrudeoil ETF Units FP
OZF,SPDR 200 Financials ETF Units FP
OZR,SPDR 200 Resources ETF Units FP
PAXX,Platinum Asia Fund Trading Managed Units FP
PIXX,Platinum Int Fund Trading Managed Fund Units FP
PLUS,Vaneck Au Corp Bond ETF Units FP
PMGOLD,Gold Corp 0.00 ZAU Call STR.Prod
POU,Betashares Pound ETF ETF Units FP
QAG,Betaagriculture ETF Units FP
QAU,Betashares Gold ETF ETF Units FP
QCB,Betacommodities ETF Units FP
QFN,Betashares ASX Fin ETF Units FP
QLTY,Beta Quality Leaders ETF Units FP
QMIX,SPDR MSCI World QMIX ETF Units FP
QOZ,Betasharesrafiaus ETF Units FP
QPON,Betaausbanksnrfrbetf ETF Units FP
QRE,Betashares ASX Res ETF Units FP
